"Country","2013","2012","2011","2010","2009","2008"
"Benin","No data","11","No data","45","No data","No data"
"C̫te d'Ivoire","2256","3092","3343","3740","No data","No data"
"Cameroon","97","59","133","802","No data","No data"
"Central African Republic","No data","230","No data","No data","No data","243"
"Congo","No data","197","No data","No data","646","No data"
"Democratic Republic of the Congo","No data","No data","No data","No data","No data","383"
"Ghana","18702","8980","9674","18157","35248","20525"
"Indonesia","2043","4360","6631","6178","7751","6083"
"Papua New Guinea","19710","17560","28989","29061","25822","28989"
"Solomon Islands","14909","12372","No data","20635","No data","No data"
"Timor-Leste","No data","No data","No data","No data","No data","No data"
"Togo","No data","No data","No data","15","No data","No data"
"Vanuatu","1198","2514","2331","1593","No data","No data"
